id,value
1,0.4377
2,0.4299
3,0.4357
4,0.4341
5,0.43
6,0.4248
7,0.4294
8,0.4281
9,0.434
10,0.4277
11,0.4304
12,0.4225
13,0.4327
14,0.4302
15,0.4305
16,0.4281
17,0.4347
18,0.4316
19,0.4266
20,0.4297
21,0.4371
22,0.4385
23,0.4342
24,0.4198
25,0.4349
26,0.4346
27,0.4373
28,0.4337
29,0.4345
30,0.4274
31,0.4289
32,0.4374
33,0.4338
34,0.4291
35,0.4318
36,0.4302
37,0.4418
38,0.4299
39,0.4314
40,0.4336
41,0.4329
42,0.4323
43,0.4333
44,0.4409
45,0.4304
46,0.4345
47,0.4322
48,0.4317
49,0.4362
50,0.4316
51,0.4283
52,0.4337
53,0.4327
54,0.4336
55,0.4342
56,0.4345
57,0.4272
58,0.4335
59,0.4328
60,0.4379
61,0.4316
62,0.441
63,0.4298
64,0.4426
65,0.4344
66,0.4281
67,0.4385
68,0.4301
69,0.4259
70,0.4326
71,0.4307
72,0.4358
73,0.4328
74,0.4378
75,0.4269
76,0.4359
77,0.4325
78,0.4307
79,0.4354
80,0.4358
81,0.4348
82,0.434
83,0.44
84,0.4346
85,0.4348
86,0.4391
87,0.4302
88,0.4296
89,0.4405
90,0.4365
91,0.4295
92,0.432
93,0.4354
94,0.4326
95,0.4334
96,0.4372
97,0.4388
98,0.4272
99,0.4312
100,0.4374
alll,0.432904000878334
