id,resourceName,type,hintline,direct,sort,input
1,1qiang1,1,xg1,,22,1
2,1qiang2,1,xg1,,19,1
3,1qiang3,1,xg1,,5,1
4,1qiang4,1,xg1,,14,1
5,1zhuozi,1,xg1,,17,2
6,2huaguduo3,2,xg2,,15,2
7,2huaguduo4,2,xg2,,20,1
8,2shuitong,2,xg2,,21,2
9,2shuye1,2,xg2,,2,1
10,2shuye2,2,xg2,,18,2
11,2shuye3,2,xg2,,4,2
12,3hua1,3,xg3,,6,2
13,3shuye,3,xg3,,10,1
14,3shuye4,3,xg3,,9,2
15,3shuye5,3,xg3,,1,1
16,3shuye6,3,xg3,,7,1
17,3shuye7,3,xg3,,11,1
18,3shuye8,3,xg3,,12,2
19,4hudie,4,xg4,,8,2
20,4mifeng,4,xg4,,3,1
21,4mifeng1,4,xg4,,13,1
22,4niao,4,xg4,,16,2
23,4piaochong,4,xg4,,23,1
24,ty1,,,1,,
25,ty2,,,2,,
26,ty21,,,2,,
27,ty22,,,2,,
28,ty23,,,2,,
29,ty24,,,2,,
30,ty25,,,2,,
31,ty3,,,3,,
32,ty4,,,4,,
